model_family,model_name,setting,input_variant,mean_macro_f1,std_macro_f1,mean_sarcasm_f1,std_sarcasm_f1,mean_accuracy,std_accuracy,n_runs,mean_params,mean_train_time_s
scratch_transformer,abl_heads1,EN->EN,context_utterance,0.5492807360983692,0.04963203453084161,0.4893986315231554,0.10942223986111047,0.567632850241546,0.03805572398742825,10,809717.2,1.8219999999999998
scratch_transformer,multi_head_attn,EN->EN,context_utterance,0.5477682943039396,0.04128991753461149,0.4717287610042196,0.11370221604250234,0.570048309178744,0.021961645244743706,10,610805.2,0.692
cnn_rnn,bigru,TL->TL,context_utterance,0.5460040015409626,0.052142552956036536,0.5926003395603938,0.09854988773100748,0.5608695652173913,0.05424843299953545,10,637698.0,0.819
scratch_transformer,multi_head_attn,TL->TL,context_utterance,0.5449899452135919,0.025169391324710688,0.5968025699195663,0.054882448687620766,0.5594202898550724,0.02109439342198101,10,629250.0,0.741
transformer,mbert,EN->TL,context_utterance,0.5437197617735101,0.08168068026640281,0.5887012674705663,0.1302530005476442,0.5758454106280193,0.06062967665442883,10,177854978.0,9.961
scratch_transformer,single_head_attn,TL->TL,context_utterance,0.5370015213398289,0.03585806225852989,0.5497070927677499,0.10748831423306258,0.5492753623188407,0.027046429656208407,10,612738.0,0.627
transformer,distilbert_multi,EN->TL,context_utterance,0.5308074912926675,0.06861801121354613,0.5464371234050741,0.15900736988395028,0.557487922705314,0.051388695721193395,10,135326210.0,5.697
transformer,xlmr_base,EN->TL,context_utterance,0.49619204522951305,0.07835468886050477,0.5260242989964727,0.17345508709688426,0.536231884057971,0.039706370389494226,10,278045186.0,10.587
cnn_rnn,bigru,EN->TL,context_utterance,0.43862850579393403,0.06843005087061348,0.3524142428053937,0.23941599836262878,0.510144927536232,0.020138483994671146,10,619253.2,0.7929999999999999
transformer,xlmr_base,TL->TL,context_utterance,0.4270537943934567,0.1077523775477358,0.5701580529633976,0.2136181990603344,0.5309178743961354,0.041647505843523835,10,278045186.0,10.619
cnn_rnn,text_cnn,EN->TL,context_utterance,0.42143569705579786,0.0893143265074186,0.26655077565338503,0.250729723925034,0.4980676328502415,0.037795908245317714,10,643381.2,0.7569999999999999
scratch_transformer,tr_enc_L2_sin,EN->TL,context_utterance,0.4156671788066867,0.07931651994312465,0.25861405633772516,0.24066724818015692,0.49420289855072463,0.03742359361522463,10,809717.2,1.861
scratch_transformer,multi_head_attn,EN->TL,context_utterance,0.39722463563773414,0.07872265008083393,0.20863303177444018,0.2534259805096605,0.49565217391304345,0.02598536908720685,10,610805.2,0.7
scratch_transformer,single_head_attn,EN->TL,context_utterance,0.37040439773459216,0.06408600890512817,0.20069864974012713,0.2674845290795299,0.49420289855072463,0.026562727728158368,10,594293.2,0.76
baseline,majority_floor,EN->EN,context_utterance,0.33225806451612905,0.0,0.2658064516129032,0.3431546534704207,0.4975845410628019,0.0,10,0.0,
baseline,majority_floor,TL->TL,context_utterance,0.3297657830366236,0.009042478915921385,0.533715776599563,0.2739103176493897,0.49227053140096616,0.01988135014006808,10,0.0,
